"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"meaqs_let_others_see_feel","114","1.6","0.66","1","1","2","4"
"meaqs_keep_quiet","114","3.4","0.75","2","3","4","4"
"meaqs_hide_unhappy","114","3.3","0.8","2","3","4","4"
"meaqs_smother_feelings","114","2.9","0.99","1","2","4","4"
"meaqs_refuse_say_anything","114","3","0.92","1","2","4","4"
"meaq_put_on_happy_face","114","3.2","0.97","1","3","4","4"
"meaqw_tell_others","114","1.9","0.87","1","1","2","4"
"meaqw_others_see_how_feel","114","1.8","0.78","1","1","2","4"
"meaqw_refuse_say_anything","114","2.6","0.98","1","2","3","4"
"meaqw_say_what_feel","114","1.9","0.82","1","1","2","4"
"meaqw_bottle_it_up","114","3","0.93","1","2","4","4"
"meaqw_keep_quiet","114","3","0.97","1","2","4","4"
"meaqw_smother_feelings","114","2.7","0.97","1","2","4","4"
"mwds_01d_wanderingthoughts","113","4.4","1.8","1","3","6","7"
"mwds_02d_enjoymindwandering","113","4.8","1.8","1","4","6","7"
"mwds_03d_boredom","113","5.4","1.7","1","4","7","7"
"mwds_04d_absorbedinfantasy","113","5.3","1.7","1","4","7","7"
"mwds_01s_wanderingthoughts","113","5","1.6","1","4","6","7"
"mwds_02s_pulledfromtopic","113","5.1","1.7","1","4","7","7"
"mwds_03s_nocontrol","113","4.6","1.8","1","3","6","7"
"mwds_04s_mindwandering","113","5.5","1.8","1","4","7","7"
"bisbas_02_rarely_fear_nervous","80","3.2","0.77","1","3","4","4"
"bisbas_08_critique_hurts","80","3","0.93","1","2","4","4"
"bisbas_13_worry_upset_some1_mad","80","3.5","0.69","1","3","4","4"
"bisbas_16_work_up_unpleasant","80","3","0.84","1","3","3.2","4"
"bisbas_19_worry_do_poorly","80","3.5","0.75","1","3","4","4"
"bisbas_22_few_fears","80","2.5","1","1","2","3","4"
"bisbas_24_worry_mistakes","80","3.6","0.73","1","3","4","4"
